epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,8868.57,2.20157,3.71158,2.54472,1.9944,0,0.12352,0.2381,0.08434,0.03051,0.12684,0.24603,0.08005,0.02277,2.37672,3.45614,3.2578,1.9825,0,0.0008516,0.0008516,0.0008516
31,9075.63,2.21432,3.55149,2.46844,2.03849,0,0.20958,0.23016,0.11247,0.0345,0.2158,0.21429,0.12104,0.03022,2.40433,3.38872,2.6234,2.12131,0,0.000812,0.000812,0.000812
32,9286.79,2.11759,3.50686,2.408,1.91951,0,0.24267,0.23016,0.13485,0.05005,0.24027,0.2381,0.15565,0.04073,2.25421,3.32542,3.00993,1.89859,0,0.0007724,0.0007724,0.0007724
33,9493.46,2.13142,3.46609,2.36128,1.85521,0,0.23926,0.23016,0.11481,0.03642,0.20076,0.2381,0.11954,0.03014,2.27699,3.30986,2.95575,1.97218,0,0.0007328,0.0007328,0.0007328
34,9696.71,2.10673,3.48276,2.36114,1.89637,0,0.19145,0.22222,0.12662,0.04214,0.19215,0.23016,0.12404,0.03538,2.19626,3.24782,2.66004,1.9147,0,0.0006932,0.0006932,0.0006932
35,9899.89,2.14741,3.43313,2.33688,1.93672,0,0.24433,0.2619,0.15638,0.05024,0.21938,0.24603,0.14702,0.03686,2.15478,3.21948,2.41765,1.85783,0,0.0006536,0.0006536,0.0006536
36,10104.2,2.17376,3.38184,2.22178,1.90599,0,0.30181,0.20635,0.1572,0.05538,0.22874,0.23016,0.15263,0.03752,2.2203,3.18116,2.15904,1.88061,0,0.000614,0.000614,0.000614
37,10310.2,2.00053,3.43844,2.28373,1.88834,0,0.33869,0.26984,0.22849,0.06926,0.30197,0.31746,0.2058,0.04838,2.26694,3.17801,2.2395,1.88807,0,0.0005744,0.0005744,0.0005744
38,10514.9,2.06765,3.30192,2.21492,1.87844,0,0.22501,0.20635,0.16357,0.05246,0.19202,0.29365,0.16383,0.04444,2.21441,3.25121,2.48877,1.89109,0,0.0005348,0.0005348,0.0005348
39,10719.3,2.07382,3.56231,2.20208,1.82588,0,0.25905,0.3254,0.18487,0.06071,0.27519,0.31746,0.20256,0.05445,2.21005,3.15899,2.23909,1.92458,0,0.0004952,0.0004952,0.0004952
40,10924.9,2.06717,3.47765,2.16337,1.85673,0,0.22343,0.28571,0.15524,0.06094,0.29982,0.21429,0.17032,0.05115,2.14413,3.18556,2.14081,1.81946,0,0.0004556,0.0004556,0.0004556
41,11127.6,2.08968,3.50699,2.48093,1.90165,0,0.24971,0.24603,0.16774,0.06226,0.26164,0.23016,0.17736,0.0494,2.22716,3.24714,2.07362,1.85387,0,0.000416,0.000416,0.000416
42,11334.3,2.12267,3.37485,2.0725,1.89432,0,0.30994,0.26984,0.21939,0.07239,0.29865,0.28727,0.20015,0.04841,2.28405,3.26227,2.10212,1.85403,0,0.0003764,0.0003764,0.0003764
43,11538.3,2.00373,3.18636,1.95163,1.76953,0,0.21988,0.29365,0.16432,0.06344,0.22932,0.2619,0.17721,0.04963,2.27675,3.19938,2.06706,1.86573,0,0.0003368,0.0003368,0.0003368
44,11746.1,2.11964,3.24018,1.9423,1.8545,0,0.27988,0.30159,0.22851,0.07671,0.31557,0.23421,0.2146,0.05958,2.21021,3.2101,2.02641,1.87688,0,0.0002972,0.0002972,0.0002972
45,11952.3,2.05159,3.14897,1.87171,1.8054,0,0.39304,0.30952,0.26345,0.08892,0.37693,0.2977,0.22934,0.06363,2.10566,3.21729,2.08741,1.85421,0,0.0002576,0.0002576,0.0002576
46,12155.5,2.02606,3.08405,1.84116,1.82132,0,0.42366,0.2381,0.26495,0.08631,0.38402,0.27778,0.26784,0.07393,2.03692,3.17773,2.2465,1.80397,0,0.000218,0.000218,0.000218
47,12359.8,1.96901,3.22559,1.769,1.77532,0,0.36045,0.26984,0.24615,0.08075,0.31788,0.30159,0.26534,0.07462,2.04896,3.16908,2.1821,1.79363,0,0.0001784,0.0001784,0.0001784
48,12565.4,1.99298,3.23822,1.78702,1.83537,0,0.3698,0.29365,0.27475,0.08405,0.32489,0.28571,0.2708,0.07234,2.07047,3.15679,2.03009,1.7872,0,0.0001388,0.0001388,0.0001388
49,12770.1,1.98708,3.11874,1.75578,1.78062,0,0.36312,0.31746,0.28767,0.08987,0.31138,0.28571,0.27569,0.07381,2.09138,3.1581,1.98737,1.77907,0,9.92e-05,9.92e-05,9.92e-05
50,12978.9,1.96374,3.28568,1.72052,1.74567,0,0.36466,0.34127,0.29325,0.09597,0.40016,0.24887,0.28292,0.07317,2.09865,3.1643,2.00161,1.76653,0,5.96e-05,5.96e-05,5.96e-05
